,x,y,sdi_cat,Country Code,pred,ineff,year
541,4.0943445622221,-4.069861875512416,high,SDN,-3.5453250810455326,0.5213313671371275,2013
542,4.143134726391533,-4.141929428883663,medium,SEN,-3.5221881498892564,0.6177472287555109,2013
543,4.1588830833596715,-4.21206721087004,high,ZMB,-3.5147201100310888,0.6928065258029316,2013
544,4.276666119016055,-4.876650411994255,high,NGA,-3.4588666922870237,1.413728964563177,2013
545,4.290459441148391,-4.121586945772163,medium,DJI,-3.452325881808769,0.6623397266746232,2013
546,4.477336814478207,-4.211958013129433,high,GHA,-3.3637097586289375,0.8444578319847709,2013
547,4.48863636973214,-4.385470173881322,medium,AGO,-3.358351659400365,1.0221786028167017,2013
548,4.5217885770490405,-3.9511521759299884,high,KEN,-3.342631376577005,0.6045426468242339,2013
549,4.584967478670572,-4.191573415346516,medium,COM,-3.312673107103798,0.8717964963350756,2013
550,5.049856007249537,-4.12688466031808,medium,ZWE,-3.092247372229214,1.0296573537138767,2013
551,5.093750200806762,-4.396444200281874,high,LSO,-3.071440040491672,1.3157947684649955,2013
552,5.204006687076795,-3.2535306301105025,high,MAR,-3.0191843191210945,0.23170255241343674,2013
553,5.402677381872279,-3.2276882015663735,high,DZA,-2.9250727516342736,0.3016440218366704,2013
554,5.575949103146316,-2.7665156307950602,high,TUN,-2.843061967366121,0.0,2013
555,5.7745515455444085,-4.036097744520797,high,GNQ,-2.7491668683082437,1.2725239679746616,2013
556,5.831882477283517,-3.729213345531251,high,GAB,-2.7220866771462973,0.9980622323841282,2013
557,5.966146739123692,-2.685750739307442,high,MUS,-2.6587165131157637,0.02697857302345056,2013
558,6.061456918928017,-3.846435165948595,high,BWA,-2.613777763845639,1.2210175301665518,2013
559,6.257667587882639,-3.7603268973400623,high,NAM,-2.521399092421587,1.229384267309667,2013
560,6.3818160174060985,-3.8473272879358755,high,ZAF,-2.4630520175128527,1.375168343348092,2013
561,6.437751649736401,-2.603742834392005,high,SYC,-2.436792057126804,0.16607874077952672,2013
562,1.3862943611198906,-4.716001908261682,low,SOM,-4.714122830770264,0.0018629581546220559,2014
563,2.8903717578961645,-4.095234166406934,medium,ERI,-4.043503655403794,0.05122943440031716,2014
564,3.044522437723423,-4.2380367132283325,medium,MDG,-3.9747730739291898,0.2613062780527259,2014
565,3.295836866004329,-4.974226795757527,low,CAF,-3.8627204746695165,1.103344553090807,2014
566,3.295836866004329,-4.249449772054895,low,ETH,-3.8627204746695165,0.3843696819442741,2014
567,3.367295829986474,-4.395412838328297,low,BDI,-3.830859343540614,0.5607881902374727,2014
568,3.367295829986474,-4.878908245995988,low,NER,-3.830859343540614,1.040993926440222,2014
569,3.4011973816621555,-4.936390727998622,low,MLI,-3.8157437905946905,1.116022878952318,2014
570,3.4339872044851463,-4.631626198971242,medium,BEN,-3.801123920123978,0.8269531631663278,2014
571,3.4339872044851463,-4.682398996826269,medium,SSD,-3.801123920123978,0.8740399250255539,2014
572,3.5553480614894135,-4.84315432499756,low,BFA,-3.7470132301487227,1.0887748893487477,2014
573,3.6635616461296463,-4.332465037401433,medium,MWI,-3.698764465966715,0.6304203905229359,2014
574,3.6888794541139363,-4.877404572456158,low,TCD,-3.687476115181449,1.183182742191377,2014
575,3.713572066704308,-4.499261408951347,low,MOZ,-3.6764665179394598,0.8173818231535798,2014
576,3.784189633918261,-4.376616702343399,medium,TGO,-3.644980544136918,0.7269915099263723,2014
577,3.828641396489095,-4.290018850952099,medium,UGA,-3.6251610141935173,0.6620625504343897,2014
578,3.9512437185814275,-4.480476210957601,high,CMR,-3.5704968087261557,0.9033786902163532,2014
579,4.007333185232471,-4.767856340502984,low,GIN,-3.545488424495746,1.2164186413087918,2014
580,4.02535169073515,-4.15888880209332,high,ZMB,-3.5374545862991877,0.6172441701150357,2014
581,4.060443010546419,-4.015201385959958,medium,RWA,-3.5218085616463832,0.4899736675689769,2014
582,4.07753744390572,-4.023353105608021,high,SDN,-3.514186735983717,0.5059498707222934,2014
583,4.0943445622221,-4.4798663738073,medium,GNB,-3.5066930143847737,0.9663308501022907,2014
584,4.143134726391533,-4.109975116157985,medium,SEN,-3.4849391423969713,0.6226190174059103,2014
585,4.204692619390966,-4.02095274382546,high,MRT,-3.4574925759540753,0.5601487897318944,2014
586,4.2626798770413155,-4.080764671478332,medium,DJI,-3.431638034989539,0.6426941974009565,2014
587,4.290459441148391,-4.84643222566367,high,NGA,-3.4192520748694943,1.4223821518530724,2014
588,4.3694478524670215,-4.33651194091452,medium,LBR,-3.384033837497772,0.9465839735418455,2014
589,4.394449154672439,-4.178652484000911,high,GHA,-3.3728866102676283,0.8018040479246167,2014
590,4.477336814478207,-4.322251537065803,medium,AGO,-3.3359298332878473,0.9807947574223345,2014
591,4.499809670330265,-4.144394028375937,medium,COM,-3.3259099545922894,0.812002257023161,2014
592,4.51085950651685,-3.916485513610918,high,KEN,-3.320983210174422,0.5916352049640137,2014
593,4.6913478822291435,-4.841758580969644,medium,SLE,-3.2405096146378085,1.594068304949839,2014
594,4.718498871295094,-4.374746473492591,high,LSO,-3.228403917685,1.1381159773755156,2014
595,5.017279836814924,-4.094273859722738,high,ZWE,-3.095187735126268,0.993866729250271,2014
596,5.198497031265826,-3.2010918634942613,high,MAR,-3.014389276938478,0.18468949562520534,2014
597,5.5134287461649825,-3.214407617279952,high,DZA,-2.8739724437059686,0.339339365552147,2014
598,5.54907608489522,-2.710807064127437,high,TUN,-2.8580785969287663,0.0,2014
599,5.700443573390687,-3.670923837542799,high,GAB,-2.79058945085166,0.87284746162118,2014
600,5.8944028342648505,-3.9757836178231534,high,GNQ,-2.70411046063779,1.257075872705972,2014
601,6.068425588244111,-2.7323967375549802,high,MUS,-2.626520672531119,0.10564666287996836,2014
602,6.082218910376446,-3.81559591210808,high,BWA,-2.6203707942468597,1.1844354155189831,2014
603,6.302618975744905,-3.7319302031147297,high,NAM,-2.5221036955224,1.2001470207350342,2014
604,6.3080984415095305,-2.581319933071117,high,SYC,-2.5196606397502803,0.0613573753084967,2014
605,6.400257445308821,-3.8294188333371735,high,ZAF,-2.4785709979574406,1.342788980209543,2014
606,1.6094379124341003,-4.686024637954218,low,SOM,-4.580866188316934,0.10428389626622032,2015
607,2.6390573296152584,-4.050289726168543,medium,ERI,-4.112224474645892,0.0,2015
608,3.091042453358316,-4.948650884437237,low,CAF,-3.906957506981212,1.0339369128515241,2015
609,3.091042453358316,-4.200860600007012,medium,MDG,-3.906957506981212,0.2916297744038536,2015
610,3.258096538021482,-4.355939543687798,low,BDI,-3.8311148856326422,0.5214008723878063,2015
611,3.295836866004329,-4.193039567641441,low,ETH,-3.81398131784815,0.37663078997195765,2015
612,3.367295829986474,-4.849366155832976,low,NER,-3.7815404322663118,1.0601697346824834,2015
613,3.367295829986474,-4.91009466263061,low,MLI,-3.7815404322663118,1.1232820656609481,2015
614,3.4965075614664802,-4.606404603780852,medium,BEN,-3.722882526654228,0.8799317726149856,2015
615,3.5263605246161616,-4.659934668325887,medium,SSD,-3.709330539765406,0.9430008719082598,2015
616,3.58351893845611,-4.453157507339957,low,MOZ,-3.6833833277334205,0.7645722111621527,2015
617,3.6109179126442243,-4.844098680976138,low,TCD,-3.6709456309402477,1.1665785545894278,2015
618,3.6375861597263857,-4.814171039145269,low,BFA,-3.6588397329840596,1.1475541617567446,2015
619,3.713572066704308,-4.290468523298929,medium,MWI,-3.6243468385992803,0.662347896118869,2015
620,3.784189633918261,-4.261414513426059,medium,UGA,-3.592291468228465,0.6660241416355513,2015
621,3.828641396489095,-4.335523572466707,medium,TGO,-3.572113831660174,0.758554419765806,2015
622,3.871201010907891,-4.008415835318944,medium,RWA,-3.552795310516083,0.4522819501927355,2015
623,3.8918202981106265,-4.124715251622533,high,ZMB,-3.543435951323219,0.5771985504125665,2015
